postal_code,stars,review_count
85283,3.794289897510981,21891
85284,3.862969004893964,23578
85285,4.382352941176471,328
85286,3.7978947368421054,14641
85287,3.875,256
85295,3.814262023217247,20659
85296,3.7846410684474123,19937
85297,3.7300275482093666,8052
85298,3.8053435114503817,2321
85299,4.130434782608695,436
85301,3.5344827586206895,10820
85302,3.527586206896552,5744
85303,3.401315789473684,1188
85304,3.843283582089552,2509
85305,3.2990654205607477,9675
85306,3.6266666666666665,6506
85307,3.8359375,718
85308,3.7066085693536674,36018
85309,4.0,27
85310,3.7258883248730963,4336
85311,3.875,265
85312,3.3,16
85318,3.4583333333333335,177
85323,3.4161585365853657,6912
85324,4.5,37
85326,4.333333333333333,57
85327,3.3333333333333335,62
85328,3.0,25
85329,3.5,42
85331,4.0013297872340425,10018
85335,3.5694444444444446,1314
85337,4.5,20
85338,3.582983193277311,11384
85339,3.283536585365854,3118
85340,3.7655502392344498,5334
85343,5.0,4
85345,3.6328451882845187,9958
85347,1.5,14
85351,3.516949152542373,2307
85353,3.3206106870229006,2420
85354,3.5,31
85355,3.911764705882353,237
85361,4.0,5
85363,3.9313725490196076,674
85370,2.5,12
85372,3.7,30
85373,3.8181818181818183,293
85374,3.5414634146341464,16215
85375,3.623529411764706,900
85377,3.8780487804878048,1946
85378,3.9754901960784315,1640
85379,3.829608938547486,4549
85380,4.166666666666667,140
85381,3.6644021739130435,7114
85382,3.700168918918919,19202
85383,3.846613545816733,5797
85385,3.85,115
85387,4.25,158
85388,3.7475728155339807,3012
85392,3.48135593220339,9648
85394,3.0,49
85395,3.5405405405405403,10073
85396,5.0,3
85435,3.5,3
85541,4.0,12
85545,3.75,80
85705,4.0,8
85734,3.5,160
85821,2.5,232
85831,5.0,9
85935,3.5,19
86006,4.0,9
86023,3.75,8
86445,5.0,3
87701,3.5,3
88031,1.5,3
88113,5.0,7
88276,4.75,7
88454,4.0,3
88901,4.566666666666666,425
88905,3.75,32
89002,3.9956521739130433,2553
89003,4.0,45
89004,4.1,519
89005,4.01685393258427,8464
89006,4.5,6
89009,4.214285714285714,93
89011,3.925,7984
89012,4.017283950617284,17079
89013,4.75,31
89014,3.639647577092511,50004
89015,3.5717054263565893,11645
89016,5.0,22
89018,4.5,7
89019,3.3333333333333335,782
89030,3.3386727688787183,10473
89031,3.6151515151515152,7891
89032,3.490846681922197,11994
89033,3.25,20
89039,4.0,13
89040,4.5,14
89044,3.942857142857143,6700
89050,4.0,85
89052,3.883579496090356,47157
89053,4.142857142857143,88
89054,4.0,453
89074,3.824749642346209,17800
89077,3.7333333333333334,458
89081,3.504032258064516,2613
89084,3.5987261146496814,7098
89085,4.5,13
89086,3.7222222222222223,1110
89101,3.751609935602576,71775
89102,3.6900467601870406,85679
89103,3.6501087744742566,75261
89104,3.62390350877193,39828
89105,4.428571428571429,40
89106,3.4491150442477876,9813
89107,3.576923076923077,10157
89108,3.521698113207547,14612
89109,3.5861720067453624,489344
89110,3.3274647887323945,4874
89111,2.676470588235294,585
89112,4.75,32
89113,3.8369205298013247,29748
89114,4.5,81
89115,3.4237012987012987,5554
89116,4.833333333333333,22
89117,3.9412451361867706,58217
89118,3.905901116427432,54906
89119,3.4967647058823528,108253
89120,3.950442477876106,15813
89121,3.5373493975903614,22326
89122,3.3136363636363635,6398
89123,3.796200345423143,62376
89124,3.38,1190
89126,4.5,9
89127,5.0,7
89128,3.6639344262295084,27948
89129,3.818639798488665,12325
89130,3.6837248322147653,18059
89131,3.728527607361963,11631
89132,2.5,10
89133,3.65,145
89134,3.94375,6422
89135,3.8509127789046653,31416
89136,3.4065420560747666,3816
89137,3.25,30
89138,4.720588235294118,666
89139,3.7588028169014085,37339
89140,4.0,16
89141,3.853125,7917
89142,3.4269662921348316,1561
89143,4.086956521739131,2856
89144,3.6859756097560976,4190
89145,3.781720430107527,24823
89146,3.8452488687782806,60349
89147,3.964828897338403,51319
89148,3.9559043348281016,28618
89149,3.6710794297352343,23491
89150,3.0,103
89151,4.666666666666667,70
89152,4.0,250
89153,2.3333333333333335,38
89154,3.357142857142857,455
89155,3.9166666666666665,84
89156,3.3636363636363638,951
89157,2.5,5
89158,3.8425925925925926,10152
89160,4.75,86
89161,4.32,1196
89162,3.525,819
89165,3.5,72
89166,3.880952380952381,1084
89169,3.404564315352697,43895
89173,3.25,16
89178,3.98728813559322,4050
89179,4.571428571428571,532
89180,3.625,36
89181,4.0,9
89183,3.6686893203883497,23114
89184,5.0,10
89191,3.45,343
89193,3.3333333333333335,210
89195,5.0,4
89199,3.375,272
89410,5.0,20
89434,2.5,3
90001,5.0,53
90210,5.0,7
90720,4.0,14
91020,5.0,15
91205,1.0,11
91950,4.0,5
92008,5.0,3
92328,3.5,7
92585,3.5,3
92832,4.0,11
93013,2.5,7
93449,5.0,9
93612,3.0,51
94066,5.0,6
94565,4.5,8
94901,1.5,214
95224,3.5,3
95308,5.0,3
95966,2.0,110
98145,5.0,3
